timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-12-25T15:05:59,"MAE Imputer - North America - Cambridge, MA, USA - Batch Size 64",5b039be7-280e-48e6-84b0-658fc6ef7a42,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.833351542000003,4.997854169363802e-07,6.380224534245474e-08,0.1026999999999999,0.0057,3.0,4.4175582458583363e-08,7.4028245977499865e-09,1.2899557641666586e-06,1.3415341712229918e-06,United States,USA,massachusetts,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:11,"XGBoost Models - North America - Cambridge, MA, USA - Batch Size 64",46bd9327-373a-4f33-98a3-882b17fa7209,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.02862675,1.5238140380886443e-06,1.3816897358400892e-07,0.1329,0.0,3.0,1.735184715729164e-07,0.0,3.916734131666668e-06,4.090252603239584e-06,United States,USA,massachusetts,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:19,"MAE Imputer - Europe - Paris, France - Batch Size 1",9e2feb5f-8b9a-44b2-ae71-c2d254457c30,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.663709874999995,8.269167003788171e-09,1.240925424261238e-09,0.2642,0.0686,3.0,6.980745019833717e-09,6.14399424947775e-08,7.914024333333695e-08,1.4756093084794818e-07,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:30,"XGBoost Models - Europe - Paris, France - Batch Size 1",19a7b9c6-1e17-4045-926a-22faca369487,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.737443500000012,2.147537684764535e-07,2.000045620509698e-08,0.0640999999999999,0.0,3.0,8.017131372786112e-08,0.0,3.752048541666658e-06,3.832219855394519e-06,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:38,"MAE Imputer - Europe - Paris, France - Batch Size 32",a8c028b8-7838-4515-86b1-1817f46be3d2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.925478291000019,3.549679783316232e-08,5.12553737686133e-09,0.1657,0.0,3.0,3.3163723453111665e-08,0.0,6.00266527500016e-07,6.334302509531276e-07,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:51,"XGBoost Models - Europe - Paris, France - Batch Size 32",a6bc9023-cbad-4d94-a97f-0d307ec5dddc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.422537124999993,4.303537257828929e-07,3.4642981659263364e-08,1.6659000000000002,0.0107999999999999,3.0,2.732037958247994e-06,2.7933209624999956e-08,4.919568541666664e-06,7.679539709539657e-06,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:06:59,"MAE Imputer - Europe - Paris, France - Batch Size 64",c15364e5-75c7-486c-b622-f8f459e16f37,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.700498874999994,7.817638740986824e-08,1.015211984040038e-08,0.2420999999999999,0.0433,3.0,1.0006743119950017e-07,5.5371173506860974e-08,1.2395967708333206e-06,1.3950353755396818e-06,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:07:11,"XGBoost Models - Europe - Paris, France - Batch Size 64",61d3ce6f-54db-4993-9b28-c75742fcd27a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.755544500000012,2.3396150584292602e-07,2.175264170427873e-08,0.3113,0.0009,3.0,3.923283021634168e-07,1.909963687500003e-09,3.7807381941666782e-06,4.174976460017595e-06,France,FRA,ile-de-france,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:07:18,"MAE Imputer - Africa - Uganda, Mbarara - Batch Size 1",356f1a09-07ec-4c51-8717-763abe072483,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.349037207999999,4.845753297665735e-09,7.632264765372494e-10,0.2176,0.0,3.0,7.372441649778617e-09,0.0,1.0145486083333805e-07,1.0882730248311665e-07,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:07:29,"XGBoost Models - Africa - Uganda, Mbarara - Batch Size 1",298f698f-8dcc-44e3-b5e0-42b6975a5851,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.666675624999982,1.823811163034817e-07,1.7098215293622192e-08,0.3150999999999999,0.0,3.0,3.893324833888869e-07,0.0,3.7066343749999937e-06,4.0959668583888805e-06,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
